timestampms,seq,best_bid,best_ask,mid,inventory,cash,avg_cost,realized_pnl,equity_mtm,equity_liquidation,trade_count,bid_quote_price,ask_quote_price,bid_quote_size,ask_quote_size
1773069386042,217574,69188.01,69190.23,69189.12,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.204007224376,20002.054943003503,2,,,,
1773069387058,217915,69178.21,69185.86,69182.035,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.174427349375,20002.014048461002,2,,,,
1773069388112,218006,69173.6,69178.05,69175.82500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.148500599378,20001.994811334378,2,,,,
1773069389148,218427,69161.49,69177.47,69169.48000000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.122010224375,20001.944277364,2,,,,
1773069390154,218583,69166.29,69176.81,69171.54999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.130652474378,20001.964307344002,2,,,,
1773069391201,219052,69157.05,69170.28,69163.66500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.097732599377,20001.9257496325,2,,,,
1773069392203,219143,69157.05,69164.5,69160.775,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.085666849376,20001.9257496325,2,,,,
1773069393203,219455,69166.36,69170.95,69168.655,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.118565849378,20001.964599447874,2,,,,
1773069394245,219685,69162.73,69167.96,69165.345,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.104746599376,20001.9494517755,2,,,,
1773069395302,219892,69163.28,69170.89,69167.08499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.112011099376,20001.951746877377,2,,,,
1773069396309,220112,69163.77,69169.3,69166.535,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.109714849375,20001.9537916045,2,,,,
1773069397325,220457,69153.68,69159.6,69156.64,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.068403224377,20001.911686917378,2,,,,
1773069398365,220772,69161.4,69168.55,69164.975,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.103201849375,20001.94390180188,2,,,,
1773069399367,220899,69166.04,69166.71,69166.375,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.109046849375,20001.96326411588,2,,,,
1773069400373,221077,69161.98,69167.66,69164.82,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.102554724377,20001.946322091128,2,,,,
1773069401383,221149,69165.43,69168.47,69166.95,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.111447474377,20001.96071863925,2,,,,
1773069402397,221309,69168.51,69171.37,69169.94,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.123930724378,20001.973571209754,2,,,,
1773069403401,221493,69162.83,69165.65,69164.23999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.100133224376,20001.94986906675,2,,,,
1773069404475,221560,69167.36,69169.68,69168.51999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.118002224375,20001.968772360375,2,,,,
1773069405490,221615,69165.8,69168.25,69167.025,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.111760599375,20001.962262616875,2,,,,
1773069406571,221678,69164.23,69166.8,69165.515,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.105456349378,20001.955711144252,2,,,,
1773069407582,221772,69161.3,69163.19,69162.245,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.091804099375,20001.943484510626,2,,,,
1773069408586,221901,69162.53,69165.44,69163.985,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.099068599375,20001.948617193,2,,,,
1773069409600,221991,69162.81,69165.55,69164.18,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.099882724375,20001.9497856085,2,,,,
1773069410601,222028,69165.68,69169.13,69167.405,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.113347099377,20001.961761867376,2,,,,
1773069411606,222123,69167.83,69167.84,69167.83499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.115142349376,20001.970733629252,2,,,,
1773069412634,222359,69158.93,69163.42,69161.17499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.087336849378,20001.933594708004,2,,,,
1773069413730,222439,69162.97,69165.74,69164.35500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.100613349376,20001.9504532745,2,,,,
1773069414735,222608,69167.84,69169.35,69168.595,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.118315349377,20001.97077535838,2,,,,
1773069415741,223012,69176.66,69181.63,69179.145,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.162361599378,20002.00758044663,2,,,,
1773069416742,223245,69166.21,69177.39,69171.8,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.131696224376,20001.963973511,2,,,,
1773069417775,223345,69164.81,69169.63,69167.22,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.112574724375,20001.9581314335,2,,,,
1773069418776,223448,69164.08,69167.9,69165.98999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.107439474377,20001.955085207377,2,,,,
1773069419776,223714,69159.43,69160.79,69160.10999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.082890474376,20001.93568116425,2,,,,
1773069420777,223987,69161.14,69166.16,69163.65,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.097669974377,20001.94281684463,2,,,,
1773069421790,224412,69170.72,69178.23,69174.475,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.14286434938,20001.98279334638,2,,,,
1773069422790,224492,69171.69,69175.69,69173.69,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.139586974376,20001.9868410715,2,,,,
1773069423796,224824,69177.4,69177.41,69177.405,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.155097099378,20002.010668401876,2,,,,
1773069424880,225146,69182.0,69186.73,69184.36499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.184155099378,20002.029863799376,2,,,,
1773069425880,225246,69184.9,69191.83,69188.36499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.200855099378,20002.04196524563,2,,,,
1773069426900,225512,69184.25,69188.32,69186.285,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.192171099377,20002.039252852504,2,,,,
1773069427916,225674,69186.05,69188.27,69187.16,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.195824224378,20002.046764095,2,,69191.3,,0.013781812500000002
1773069428927,225805,69187.54,69187.55,69187.545,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.197431599376,20002.052981734625,2,,,,
1773069429981,225908,69182.08,69186.2,69184.14,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.183215724377,20002.030197632375,2,,,,
1773069430985,226175,69187.38,69192.32,69189.85,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.207054974377,20002.052314068627,2,,,,
1773069431993,226551,69180.01,69183.29,69181.65,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.172819974377,20002.021559703502,2,,,,
1773069433003,226910,69183.0,69186.42,69184.70999999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.185595474377,20002.034036711877,2,,,,
1773069434004,227058,69177.97,69179.25,69178.61,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160127974377,20002.013046962,2,,,,
1773069435012,227404,69182.2,69195.29,69188.745,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.202441599376,20002.030698381877,2,,,,
1773069436012,227490,69180.94,69187.03,69183.985,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.182568599375,20002.025440512127,2,,,,
1773069437018,227660,69175.99,69176.0,69175.995,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.149210349377,20002.004784595254,2,,,,
1773069438040,227726,69175.99,69176.87,69176.43,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.151026474377,20002.004784595254,2,,,,
1773069439065,227845,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069440066,228121,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,69178.61,,0.013781812500000002
1773069441072,228205,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,69178.61,,0.013781812500000002
1773069442086,228354,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069443155,228444,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069444179,228585,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069445190,228804,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,69178.61,,0.013781812500000002
1773069446412,229032,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069447441,229140,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069448573,229260,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069449609,229341,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069450675,229504,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069451792,229600,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069452794,229671,69178.6,69178.61,69178.60500000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.160107099375,20002.015675896877,2,,,,
1773069453803,230042,69197.79,69197.8,69197.795,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.240225349375,20002.09575408775,2,,,,
1773069454817,230149,69214.36,69214.37,69214.36499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.309405099375,20002.164899247877,2,,,,
1773069455845,230226,69214.36,69214.37,69214.36499999999,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.309405099375,20002.164899247877,2,,,,
1773069456853,230372,69212.77,69212.78,69212.775,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.302766849378,20002.158264317,2,,,,
1773069458031,230520,69209.2,69209.82,69209.51000000001,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.289135474377,20002.143367019376,2,,,,
1773069459032,231058,69229.49,69230.92,69230.205,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.375537099375,20002.228035414,2,,,,
1773069460059,231237,69236.03,69236.04,69236.035,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.399877349377,20002.25532626175,2,,,,
1773069461166,231555,69236.03,69236.04,69236.035,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.399877349377,20002.25532626175,2,,,,
1773069462175,231761,69236.03,69236.04,69236.035,0.004175000000000002,19713.339431224376,69039.15,2.413600000000006,20002.399877349377,20002.25532626175,2,,,,
