timestampms,seq,event,side,price,size,queue_ahead,inventory,fair_price,reservation_price
1773068648961,2380,cancel,BID,69203.82,0.014175000000000002,0.314587,-0.01,69173.32213137473,69173.32746470807
1773068671179,10163,new,BID,69195.78,0.014175000000000002,0.0406,-0.01,69236.48886086815,69236.49419420148
1773068671684,10305,cancel,BID,69195.78,0.014175000000000002,0.0,-0.01,69177.17872612347,69177.1840594568
1773068687158,14738,new,BID,69169.0,0.014175000000000002,0.35,-0.01,69213.54768250675,69213.55301584008
1773068687663,14880,cancel,BID,69169.0,0.014175000000000002,0.0,-0.01,69168.14085018441,69168.14618351775
1773068702570,19126,new,BID,69147.34,0.014175000000000002,0.0236,-0.01,69189.76750685852,69189.77284019186
1773068703075,19202,replace,BID,69145.62,0.014175000000000002,0.0236,-0.01,69189.34016156867,69189.34549490201
1773068703576,19285,replace,BID,69147.34,0.014175000000000002,0.0236,-0.01,69189.76718508583,69189.77251841917
1773068704077,19349,cancel,BID,69147.34,0.014175000000000002,0.0,-0.01,69156.56147503176,69156.5668083651
1773068705086,19592,new,BID,69147.34000000001,0.014175000000000002,0.0,-0.01,69194.66905065514,69194.67438398847
1773068705586,19933,cancel,BID,69147.34000000001,0.014175000000000002,0.0,-0.01,69169.26938142274,69169.27471475607
1773068710208,21359,new,BID,69166.40000000001,0.014175000000000002,0.0,-0.01,69220.24131926821,69220.24665260155
1773068710719,21403,replace,BID,69168.49,0.014175000000000002,0.0,-0.01,69220.64679493179,69220.65212826512
1773068711231,21560,replace,BID,69175.12000000001,0.014175000000000002,0.0,-0.01,69230.35302139286,69230.3583547262
1773068712267,21812,replace,BID,69189.12,0.014175000000000002,0.126833,-0.01,69242.50799099873,69242.51332433206
1773068713305,22152,cancel,BID,69189.12,0.014175000000000002,0.126833,-0.01,69234.0184317306,69234.02376506393
1773068714378,22508,new,BID,69201.7,0.014175000000000002,0.35,-0.01,69264.87162185939,69264.87695519273
1773068714903,22558,cancel,BID,69201.7,0.014175000000000002,0.0,-0.01,69207.98907000975,69207.99440334308
1773068717003,23108,new,BID,69210.24,0.014175000000000002,0.07853473,-0.01,69251.87271224648,69251.87804557981
1773068717514,23410,cancel,BID,69210.24,0.014175000000000002,0.0,-0.01,69220.72270606172,69220.72803939505
1773068720724,24144,new,BID,69224.07,0.014175000000000002,0.126797,-0.01,69274.56096239926,69274.5662957326
1773068721236,24219,cancel,BID,69224.07,0.014175000000000002,0.126797,-0.01,69255.96862266854,69255.97395600188
1773068721756,24281,new,BID,69225.56,0.014175000000000002,0.07852279,-0.01,69268.29181080445,69268.29714413779
1773068722265,24396,cancel,BID,69225.56,0.014175000000000002,0.0406,-0.01,69268.9254390485,69268.93077238183
1773068724822,24945,new,BID,69235.11,0.014175000000000002,0.0,-0.01,69280.39975283355,69280.40508616688
1773068725373,25090,cancel,BID,69235.11,0.014175000000000002,0.0,-0.01,69247.38665540538,69247.39198873872
1773068740891,28345,new,BID,69215.25,0.014175000000000002,0.0785304,-0.01,69259.1761409655,69259.18147429884
1773068741403,28401,cancel,BID,69215.25,0.014175000000000002,0.0406,-0.01,69245.36067376725,69245.36600710059
1773068745487,29379,new,BID,69214.31,0.014175000000000002,0.0,-0.01,69262.01536020689,69262.02069354022
1773068745995,29457,replace,BID,69208.91,0.014175000000000002,0.0,-0.01,69252.1687956112,69252.17412894453
1773068746560,29625,cancel,BID,69208.91,0.014175000000000002,0.0,-0.01,69229.72801573892,69229.73334907225
1773068748085,29980,new,BID,69213.11,0.014175000000000002,0.0,-0.01,69263.20036794379,69263.20570127713
1773068748586,30311,replace,BID,69223.52,0.014175000000000002,0.0,-0.01,69269.82837078239,69269.83370411572
1773068749106,30485,cancel,BID,69223.52,0.014175000000000002,0.0,-0.01,69261.62289508407,69261.62822841741
1773068749642,30554,new,BID,69231.61,0.014175000000000002,0.0,-0.01,69278.32430686546,69278.32964019879
1773068750200,30690,cancel,BID,69231.61,0.014175000000000002,0.0,-0.01,69229.34845000293,69229.35378333626
1773068750716,30837,new,BID,69235.11,0.014175000000000002,0.0,-0.01,69280.7590895246,69280.76442285793
1773068751240,31183,cancel,BID,69235.11,0.014175000000000002,0.0,-0.01,69270.4665997197,69270.47193305304
1773068763097,35759,new,BID,69234.21,0.014175000000000002,0.07852736,-0.01,69278.03524962314,69278.04058295647
1773068763606,35960,cancel,BID,69234.21,0.014175000000000002,3.469446951953614e-18,-0.01,69191.55059609225,69191.55592942558
1773068816297,56743,new,BID,69237.40000000001,0.014175000000000002,0.0,-0.01,69284.79068352585,69284.79601685918
1773068816806,56931,cancel,BID,69237.40000000001,0.014175000000000002,0.0,-0.01,69190.3805957515,69190.38592908483
1773068826055,59578,new,BID,69237.4,0.014175000000000002,0.0406,-0.01,69284.79068352585,69284.79601685918
1773068826574,59620,cancel,BID,69237.4,0.014175000000000002,0.0406,-0.01,69257.09572039568,69257.10105372901
1773068854093,65457,new,BID,69226.17,0.014175000000000002,0.23028668,-0.01,69269.99124100206,69269.9965743354
1773068854593,65621,replace,BID,69242.86,0.014175000000000002,0.0406,-0.01,69283.57912245714,69283.58445579048
1773068855125,65718,cancel,BID,69242.86,0.014175000000000002,0.0,-0.01,69274.83772668209,69274.84306001542
1773068859229,66503,new,BID,69242.86,0.014175000000000002,0.0406,-0.01,69281.68993287918,69281.69526621251
1773068859749,66607,cancel,BID,69242.86,0.014175000000000002,0.0406,-0.01,69280.25429771711,69280.25963105045
1773068860273,66722,new,BID,69242.86,0.014175000000000002,0.07851787,-0.01,69287.86252546978,69287.86785880312
1773068860773,66946,cancel,BID,69242.86,0.014175000000000002,3.469446951953614e-18,-0.01,69258.4596089733,69258.46494230663
1773068920559,85717,new,BID,69171.53,0.014175000000000002,0.0236,-0.01,69213.73809925374,69213.74343258707
1773068921072,85947,cancel,BID,69171.53,0.014175000000000002,0.0,-0.01,69199.503397038,69199.50873037134
1773068925646,87417,new,BID,69160.06,0.014175000000000002,0.0236,-0.01,69211.66980539128,69211.67513872462
1773068926194,87561,cancel,BID,69160.06,0.014175000000000002,0.0,-0.01,69132.83944481278,69132.84477814611
1773068929229,88284,new,BID,69163.26,0.014175000000000002,0.0236,-0.01,69209.29983738583,69209.30517071916
1773068929734,88373,cancel,BID,69163.26,0.014175000000000002,0.0,-0.01,69175.3923794541,69175.39771278744
1773068934464,89139,new,BID,69161.5,0.014175000000000002,0.35,-0.01,69216.41180665336,69216.41713998669
1773068934966,89446,cancel,BID,69161.5,0.014175000000000002,0.0,-0.01,69145.608112,69145.61344533334
1773068947199,92506,new,BID,69158.12,0.014175000000000002,0.03796339,-0.01,69212.70745619781,69212.71278953114
1773068947702,92875,cancel,BID,69158.12,0.014175000000000002,0.0,-0.01,69196.99943010185,69197.00476343518
1773068948713,93202,new,BID,69162.41,0.014175000000000002,0.07856078,-0.01,69204.32455638784,69204.32988972118
1773068949243,93321,cancel,BID,69162.41,0.014175000000000002,0.0406,-0.01,69183.4365417518,69183.44187508513
1773068949778,93423,new,BID,69171.25,0.014175000000000002,0.0,-0.01,69223.19057803407,69223.19591136741
1773068950293,93538,cancel,BID,69171.25,0.014175000000000002,0.0,-0.01,69186.064446,69186.06977933334
1773068996643,107660,new,BID,69000.0,0.014175000000000002,2.42289753,-0.01,69039.72818049119,69039.73351382453
1773068997674,107989,cancel,BID,69000.0,0.014175000000000002,2.42289753,-0.01,69024.9741957262,69024.97952905954
1773069024774,119327,new,BID,69035.56,0.014175000000000002,0.150471,-0.01,69084.02287640299,69084.02820973632
1773069025797,119527,cancel,BID,69035.56,0.014175000000000002,0.150471,-0.01,69057.73230087293,69057.73763420626
1773069026298,119678,new,BID,69031.6,0.014175000000000002,0.126872,-0.01,69080.08523944565,69080.09057277898
1773069026801,119787,cancel,BID,69031.6,0.014175000000000002,0.126872,-0.01,69054.3517209781,69054.35705431143
1773069027301,119900,new,BID,69037.25,0.014175000000000002,0.126872,-0.01,69085.83109343165,69085.83642676499
1773069028818,120444,cancel,BID,69037.25,0.014175000000000002,0.126872,-0.01,69046.96670713279,69046.97204046612
1773069031906,120907,new,BID,69039.15,0.014175000000000002,0.126869,-0.01,69080.53785659264,69080.54318992597
1773069160937,165068,new,ASK,69160.12,0.013781812500000002,0.06156673,0.004175000000000002,69117.99263909706,69117.9904124304
1773069161467,165244,cancel,ASK,69160.12,0.013781812500000002,3.469446951953614e-18,0.004175000000000002,69134.6677692681,69134.66554260143
1773069247941,184332,new,ASK,69101.62,0.013781812500000002,0.0236,0.004175000000000002,69058.32755095353,69058.32532428687
1773069248455,184398,cancel,ASK,69101.62,0.013781812500000002,0.0,0.004175000000000002,69109.33765709479,69109.33543042812
1773069278602,190891,new,ASK,69116.01,0.013781812500000002,0.21352307,0.004175000000000002,69066.9512489579,69066.94902229124
1773069279250,190987,cancel,ASK,69116.01,0.013781812500000002,0.02360000000000001,0.004175000000000002,69090.5670944528,69090.56486778613
1773069279766,191012,new,ASK,69116.01,0.013781812500000002,0.0236,0.004175000000000002,69077.2179437789,69077.21571711224
1773069280798,191124,cancel,ASK,69116.01,0.013781812500000002,0.0,0.004175000000000002,69095.56632080865,69095.56409414198
1773069281330,191166,new,ASK,69116.01,0.013781812500000002,0.06159099,0.004175000000000002,69067.91991996524,69067.91769329857
1773069281839,191178,cancel,ASK,69116.01,0.013781812500000002,0.06159099,0.004175000000000002,69085.21694628346,69085.2147196168
1773069285518,191748,new,ASK,69116.01,0.013781812500000002,0.06159099,0.004175000000000002,69070.18105279293,69070.17882612627
1773069286037,191792,cancel,ASK,69116.01,0.013781812500000002,0.06144975,0.004175000000000002,69095.57756681977,69095.57534015311
1773069345315,207186,new,ASK,69209.66,0.013781812500000002,0.15175322,0.004175000000000002,69170.67091209439,69170.66868542772
1773069345827,207362,cancel,ASK,69209.66,0.013781812500000002,0.0,0.004175000000000002,69205.03439216569,69205.03216549903
1773069368911,214514,new,ASK,69234.27,0.013781812500000002,0.06152328,0.004175000000000002,69193.08607861867,69193.083851952
1773069369411,214737,cancel,ASK,69234.27,0.013781812500000002,3.469446951953614e-18,0.004175000000000002,69228.27027557256,69228.2680489059
1773069427726,225600,new,ASK,69191.3,0.013781812500000002,0.15181198,0.004175000000000002,69148.62018574844,69148.61795908178
1773069428251,225723,cancel,ASK,69191.3,0.013781812500000002,0.0,0.004175000000000002,69172.772572531,69172.77034586434
1773069439909,228085,new,ASK,69178.61,0.013781812500000002,0.9224,0.004175000000000002,69139.05104601294,69139.04881934628
1773069442059,228350,cancel,ASK,69178.61,0.013781812500000002,0.921695,0.004175000000000002,69145.87972974557,69145.87750307891
1773069444685,228748,new,ASK,69178.61,0.013781812500000002,0.9220475,0.004175000000000002,69139.85521512928,69139.85298846262
1773069445788,229007,cancel,ASK,69178.61,0.013781812500000002,0.9220475,0.004175000000000002,69154.73194140055,69154.72971473388
1773069506349,241641,new,ASK,69116.01,0.013781812500000002,0.0785892,0.004175000000000002,69060.67186550691,69060.66963884025
1773069507917,241928,cancel,ASK,69116.01,0.013781812500000002,0.0,0.004175000000000002,69088.3182693223,69088.31604265564
1773069530231,246492,new,ASK,69128.7,0.013781812500000002,0.07858275,0.004175000000000002,69087.0260659463,69087.02383927963
1773069530789,246529,cancel,ASK,69128.7,0.013781812500000002,0.023600000000000003,0.004175000000000002,69098.88987782165,69098.88765115499
1773069533317,246953,new,ASK,69133.21,0.013781812500000002,0.07858275,0.004175000000000002,69090.34119448312,69090.33896781645
1773069533827,247041,cancel,ASK,69133.21,0.013781812500000002,3.469446951953614e-18,0.004175000000000002,69100.98735866445,69100.98513199779
1773069541059,248535,new,ASK,69133.11,0.013781812500000002,0.07857627,0.004175000000000002,69090.95224351187,69090.9500168452
1773069541602,248795,cancel,ASK,69133.11,0.013781812500000002,3.469446951953614e-18,0.004175000000000002,69153.30497314272,69153.30274647605
1773069543166,249317,new,ASK,69096.01,0.013781812500000002,0.07859996,0.004175000000000002,69039.64371976655,69039.64149309989
1773069544228,249556,cancel,ASK,69096.01,0.013781812500000002,0.0,0.004175000000000002,69094.3561067155,69094.35388004883
1773069557614,253689,new,ASK,69018.75,0.013781812500000002,0.07863608,0.004175000000000002,68975.84920781857,68975.8469811519
1773069558140,254093,cancel,ASK,69018.75,0.013781812500000002,0.0,0.004175000000000002,68978.70341343519,68978.70118676852
1773069590857,263706,new,ASK,69002.01999999999,0.013781812500000002,0.0,0.004175000000000002,68960.35846696777,68960.3562403011
1773069591377,263863,cancel,ASK,69002.01999999999,0.013781812500000002,0.0,0.004175000000000002,69033.14789105023,69033.14566438357
1773069602420,266432,new,ASK,69004.83,0.013781812500000002,0.07864106,0.004175000000000002,68949.6281719372,68949.62594527054
1773069605496,266696,cancel,ASK,69004.83,0.013781812500000002,0.0,0.004175000000000002,68970.71061757195,68970.70839090529
1773069605996,266753,new,ASK,69004.83,0.013781812500000002,0.2308053,0.004175000000000002,68957.40275184918,68957.40052518251
1773069607032,267068,cancel,ASK,69004.83,0.013781812500000002,0.0,0.004175000000000002,69062.82524819407,69062.82302152741
1773069610100,267955,new,ASK,69007.22,0.013781812500000002,0.99164564,0.004175000000000002,68963.74240400526,68963.7401773386
1773069611100,268151,cancel,ASK,69007.22,0.013781812500000002,0.23080913000000003,0.004175000000000002,68979.6122033024,68979.60997663574
1773069611607,268217,new,ASK,69007.22,0.013781812500000002,0.23080913,0.004175000000000002,68955.91886368676,68955.9166370201
1773069613457,268350,cancel,ASK,69007.22,0.013781812500000002,0.23080913,0.004175000000000002,68979.6122033024,68979.60997663574
1773069613991,268406,new,ASK,69007.22,0.013781812500000002,0.23080913,0.004175000000000002,68952.00931870227,68952.00709203561
1773069614495,268518,cancel,ASK,69007.22,0.013781812500000002,0.23080913,0.004175000000000002,68979.6122033024,68979.60997663574
1773069649496,277630,new,ASK,69048.1,0.013781812500000002,0.19014671,0.004175000000000002,69004.70881824607,69004.70659157941
1773069650045,277756,cancel,ASK,69048.1,0.013781812500000002,0.0,0.004175000000000002,69036.33386644922,69036.33163978255
1773069658061,278889,new,ASK,69034.46,0.013781812500000002,0.19016663,0.004175000000000002,68988.37045879803,68988.36823213137
1773069658578,278942,cancel,ASK,69034.46,0.013781812500000002,0.038033330000000004,0.004175000000000002,69022.00023513395,69021.99800846729
1773069661679,279569,new,ASK,69019.25,0.013781812500000002,0.15214075,0.004175000000000002,68971.41282731609,68971.41060064943
1773069662188,279719,replace,ASK,69026.09,0.013781812500000002,0.0236,0.004175000000000002,68970.32927516059,68970.32704849393
1773069662688,279767,cancel,ASK,69026.09,0.013781812500000002,0.0236,0.004175000000000002,68971.07204056527,68971.0698138986
1773069672514,281966,new,ASK,69007.22,0.013781812500000002,0.19024324,0.004175000000000002,68961.15104145808,68961.14881479142
1773069673027,282087,cancel,ASK,69007.22,0.013781812500000002,0.03804865000000002,0.004175000000000002,68994.76474605646,68994.7625193898
1773069675079,282510,new,ASK,69007.22,0.013781812500000002,0.97342564,0.004175000000000002,68956.92345128988,68956.92122462322
1773069676605,282812,cancel,ASK,69007.22,0.013781812500000002,0.0,0.004175000000000002,69015.76515737514,69015.76293070847
1773069681179,283687,new,ASK,69016.33,0.013781812500000002,0.19024097,0.004175000000000002,68968.81704672244,68968.81482005578
1773069681801,283782,cancel,ASK,69016.33,0.013781812500000002,0.0,0.004175000000000002,68987.37284532038,68987.37061865372
1773069682861,283989,new,ASK,69011.42,0.013781812500000002,0.19024097,0.004175000000000002,68970.8336479726,68970.83142130593
1773069683418,284065,cancel,ASK,69011.42,0.013781812500000002,0.0,0.004175000000000002,69023.99680517781,69023.99457851115
1773069688563,285436,new,ASK,69035.38,0.013781812500000002,0.19016782,0.004175000000000002,68986.94175141201,68986.93952474535
1773069689072,285498,cancel,ASK,69035.38,0.013781812500000002,0.1389867,0.004175000000000002,68997.93883065734,68997.93660399067
